length_url,nb_or,path_extension,ratio_nullHyperlinks,ratio_intRedirection,ratio_intErrors,submit_email,sfh,status
20,0,0,0,0,0,0,0,1
98,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,1
63,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,1
88,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1
88,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,1
71,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
129,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,1
71,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,1
124,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1
443,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1
107,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
124,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,1
77,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1
75,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
103,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
72,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,1
74,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,1
105,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1
267,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,1
121,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,1
80,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1
63,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,1
62,0,0,0,0,0,0,0,1
67,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1
202,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,1
153,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
111,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
72,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
77,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,1
120,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
106,0,0,0,0,0,0,0,1
126,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1
132,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
238,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
142,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,1
65,0,0,0,0,0,0,0,1
130,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,1
140,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1
76,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,1
94,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,1
441,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,1
63,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
155,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,1
124,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,1
206,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
134,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,1
99,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1
196,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1
77,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,1
74,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1
94,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1
137,0,0,0,0,0,0,0,1
98,0,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,1
126,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1
180,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1
113,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,1
72,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,1
111,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,1
133,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,1
125,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,1
552,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1
159,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1
38,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,1
75,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,1
65,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,1
115,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,1
169,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0
